SeqCluster,ClusterNumber,Domain_IDs,Pfam_result
CK_00040998,CK_Syn_RS9909_01310,PF00959,PF00959|PF13529
CK_00041008,CK_Syn_WH8101_01889, , 
CK_00041009,CK_Pro_MIT0801_01728,PF00535,PF00535
CK_00041012,CK_Syn_WH8101_01890,PF16576  PF00529,PF13533
CK_00041021,CK_Syn_WH8101_01887,PF18551  PF00990,PF00990|PF18551
CK_00041030,CK_Syn_WH8101_01878,PF13599  PF13576  PF00805,PF00805
CK_00041032,CK_Cya_CB0205_10596,PF04228, 
CK_00041085,CK_Syn_WH8102_01569, , 
CK_00041087,CK_Syn_WH8101_01238, , 
CK_00041106,CK_Pro_MIT9202_01827,PF13641  PF02348,PF00535|PF02348
CK_00041109,CK_Syn_WH7803_01695,PF12215  PF12215  PF04685,PF04685|PF12215
CK_00041112,CK_Syn_PROS-7-1_00703, , 
CK_00041151,CK_Syn_A15-28_00148,PF13692  PF13524,PF13692
CK_00041152,CK_Pro_MIT0603_01499,PF16363,PF01370
CK_00041168,CK_Syn_WH8101_01321,PF05401  PF08241,PF13649
CK_00041183,CK_Syn_A15-127_01471, , 
CK_00041188,CK_Syn_A18-46.1_00971,PF05272,PF05272
CK_00041209,CK_Pro_MIT9215_14801, , 
CK_00041211,CK_Pro_MIT9215_14781,PF01408  PF08635,PF01408
CK_00041218,CK_Pro_MIT9215_14371, , 
CK_00041220,CK_Pro_MIT9215_14321,PF07221,PF07221
CK_00041222,CK_Pro_MIT9215_14581, , 
CK_00041229,CK_Pro_MIT9215_14611, , 
CK_00041232,CK_Pro_MIT9215_14601,PF13579  PF13692  PF13524,PF00534
CK_00041234,CK_Pro_MIT9215_14671,PF01408,PF01408
CK_00041236,CK_Pro_MIT9215_14621,PF13847  PF16472, 
CK_00041251,CK_Pro_MIT0602_01454,PF10096,PF10096
CK_00041252,CK_Syn_PROS-U-1_02122,PF10145,PF10145
CK_00041259,CK_Syn_A15-62_01788,PF13579  PF13692, 
CK_00041260,CK_Syn_A18-46.1_00501,PF02719,PF02719
CK_00041261,CK_Pro_MIT9215_14291,PF05050, 
CK_00041263,CK_Pro_MIT9215_14281, , 
CK_00041264,CK_Syn_A18-46.1_00496, , 
CK_00041265,CK_Pro_MIT9215_14241, , 
CK_00041268,CK_Syn_A18-46.1_00495,PF13579  PF00534,PF00534
CK_00041269,CK_Syn_A18-46.1_00488,PF00483  PF02348,PF02348
CK_00041270,CK_Syn_A18-46.1_00490, , 
CK_00041276,CK_Syn_A18-46.1_00485,PF02353  PF06859,PF13489
CK_00041277,CK_Pro_MIT9215_12761, , 
CK_00041281,CK_Pro_MIT9215_14181,PF05721,PF05721
CK_00041283,CK_Pro_MIT9215_13721, , 
CK_00041288,CK_Pro_MIT9313_00473,PF14145  PF14145,PF14145
CK_00041292,CK_Cya_PCC6307_03066,PF01479  PF01728,PF01479|PF01728
CK_00041295,CK_Pro_MIT9303_25101,PF08548  PF00353  PF13946,PF00353
CK_00041307,CK_Syn_A18-46.1_00482, , 
CK_00041308,CK_Syn_A18-46.1_00484, , 
CK_00041315,CK_Pro_MIT9301_14041,PF02350, 
CK_00041326,CK_Pro_MIT9301_07051, , 
CK_00041335,CK_Cya_CB0101_05436,PF04278,PF04278
CK_00041343,CK_Syn_A18-46.1_00384,PF13489,PF13489
CK_00041355,CK_Pro_MIT9215_17951,PF16822, 
CK_00041361,CK_Pro_MIT9215_16871, , 
CK_00041369,CK_Pro_MIT9215_14841,PF12481  PF00733,PF00733
CK_00041375,CK_Pro_MIT9302_01372, , 
CK_00041378,CK_Syn_A15-62_01786,PF04007,PF00534
CK_00041446,CK_Syn_A15-127_02396,PF09243,PF08242
CK_00041490,CK_Syn_A15-28_00123, , 
CK_00041495,CK_Pro_MIT9401_00921,PF03382  PF03382  PF03382  PF13205  PF13205  PF17210  PF17210  PF03797,PF03382|PF03797|PF13205|PF13620
CK_00041512,CK_Syn_WH8101_00235,PF05159, 
CK_00041551,CK_Syn_BIOS-E4-1_03376,PF03379,PF01061
CK_00041582,CK_Syn_RS9915_00460,PF13432  PF05704, 
CK_00041596,CK_Pro_MIT9215_04491,PF04326,PF04326
CK_00041608,CK_Syn_BIOS-E4-1_00238,PF12965  PF02399,PF12965
CK_00041611,CK_Cya_NS01_02121,PF09258, 
CK_00041621,CK_Syn_A15-24_02641, , 
CK_00041627,CK_Pro_MIT9215_12661, , 
CK_00041628,CK_Pro_MIT9215_12671,PF00156, 
CK_00041631,CK_Pro_UH18301_00682,PF04932, 
CK_00041635,CK_Syn_A15-44_01792,PF01234,PF08241
CK_00041636,CK_Cya_CB0101_05014,PF00449  PF07969,PF07969
CK_00041640,CK_Pro_UH18301_00679,PF04464  PF05159, 
CK_00041643,CK_Pro_UH18301_00680,PF04991,PF04991
CK_00041651,CK_Cya_CB0205_07908,PF13489,PF13489
CK_00041654,CK_Syn_PROS-U-1_02624,PF09976  PF13469,PF13181|PF13469
CK_00041665,CK_Pro_MIT9211_14941, , 
CK_00041671,CK_Pro_MIT9211_14931,PF16261,PF16261
CK_00041691,CK_Pro_EQPAC1_00794,PF02779  PF02779  PF02780,PF02779
CK_00041726,CK_Pro_MIT0703_00969,PF14307,PF14307
CK_00041731,CK_Cya_PCC7001_00696, , 
CK_00041765,CK_Cya_PCC6307_00668,PF00672  PF07228,PF00672|PF07228
CK_00041767,CK_Syn_PROS-7-1_02801,PF00924,PF00924|PF21082|PF21088
CK_00041768,CK_Pro_MIT9211_12901,PF05159, 
CK_00041770,CK_Syn_A18-25c_02116,PF00126  PF03466,PF00126|PF03466
CK_00041772,CK_Syn_PROS-U-1_01188,PF05345  PF08548  PF00353  PF00353,PF00353
CK_00041773,CK_Syn_KORDI-52_05400,PF01145,PF01145
CK_00041778,CK_Pro_SS35_01523,PF13421  PF09851,PF09851|PF13421
CK_00041779,CK_Pro_MIT9211_13021, , 
CK_00041781,CK_Pro_MIT9211_13001,PF13419,PF00702
CK_00041782,CK_Pro_MIT9211_14491, , 
CK_00041787,CK_Syn_KORDI-100_23180, , 
CK_00041809,CK_Pro_MIT0703_02525,PF00899  PF02624,PF02624|PF21084
CK_00041810,CK_Syn_A15-62_02141,PF13495  PF16795,PF00589
CK_00041819,CK_Pro_UH18301_01989,PF07021,PF07021
CK_00041821,CK_Pro_UH18301_01990, , 
CK_00041841,CK_Pro_UH18301_01965, , 
CK_00041867,CK_Syn_PROS-U-1_00945,PF08548  PF00353  PF08548, 
CK_00041949,CK_Syn_A18-46.1_01918, , 
CK_00041979,CK_Syn_PROS-U-1_00448, , 
CK_00041993,CK_Syn_A15-127_00867, , 
CK_00041994,CK_Syn_A15-127_00864,PF03544,PF03544
CK_00041997,CK_Syn_A15-127_00902, , 
CK_00042022,CK_Syn_A18-46.1_01297,PF12919  PF12919,PF05704
CK_00042045,CK_Syn_A15-127_02787,PF03160  PF00082,PF00082|PF03160
CK_00042076,CK_Syn_NOUM97013_00236,PF03071,PF00535
CK_00042110,CK_Syn_NOUM97013_00677,PF00551,PF00551
CK_00042121,CK_Syn_NOUM97013_00256,PF12996  PF13524, 
CK_00042122,CK_Syn_NOUM97013_00253, , 
CK_00042127,CK_Syn_NOUM97013_00251, , 
CK_00042130,CK_Syn_NOUM97013_00237,PF00701,PF00701
CK_00042133,CK_Syn_NOUM97013_00238,PF05159, 
CK_00042157,CK_Syn_NOUM97013_02762,PF13621,PF13621
CK_00042242,CK_Syn_RS9916_32297, , 
CK_00042247,CK_Syn_RS9909_00856,PF12951  PF03797,PF03797
CK_00042249,CK_Syn_A18-25c_01436, , 
CK_00042254,CK_Syn_A18-40_00422, , 
CK_00042255,CK_Pro_MIT9301_06951,PF04612, 
CK_00042257,CK_Syn_A15-24_00127,PF13432  PF12895  PF01075,PF01075
CK_00042258,CK_Syn_RS9909_00358, , 
CK_00042259,CK_Cya_WH5701_06901,PF08881  PF01476  PF08881  PF01476  PF08881  PF01476,PF01476
CK_00042262,CK_Pro_MIT9302_01523,PF06325  PF05148,PF08241
CK_00042269,CK_Cya_NS01_01169,PF04326  PF13749,PF04326|PF13749
CK_00042275,CK_Cya_CB0205_08980,PF00654  PF00478  PF00571,PF00654
CK_00042278,CK_Syn_ROS8604_02264, , 
CK_00042279,CK_Syn_A15-44_00587, , 
CK_00042280,CK_Cya_NS01_01813, , 
CK_00042281,CK_Pro_MIT0703_00764,PF11765  PF11765  PF08548  PF00353  PF08548  PF00353,PF00353
CK_00042285,CK_Syn_CC9605_00782,PF12705,PF12705
CK_00042292,CK_Syn_KORDI-49_22400,PF02353,PF08241
CK_00042301,CK_Syn_RS9916_32382,PF01234,PF13649
CK_00042303,CK_Syn_RS9916_32377,PF02668,PF02668
CK_00042315,CK_Pro_MIT0702_01760,PF13712,PF00535
CK_00042320,CK_Cya_WH5701_12798,PF01590  PF00990,PF00990|PF01590
CK_00042324,CK_Syn_NOUM97013_00100,PF04321,PF04321
CK_00042326,CK_Syn_PROS-U-1_00147,PF12895  PF17874  PF01075,PF01075
CK_00042330,CK_Syn_KORDI-49_22280, , 
CK_00042338,CK_Syn_KORDI-49_22300, , 
CK_00042341,CK_Syn_KORDI-49_22290,PF13469,PF13469
CK_00042345,CK_Syn_A15-60_00118, ,PF11735
CK_00042347,CK_Syn_KORDI-49_22260,PF00535  PF13506, 
CK_00042359,CK_Cya_NS01_02752,PF06230,PF06230|PF17930
CK_00042375,CK_Syn_M16.1_00072,PF00696  PF01842  PF13840  PF01842  PF13840,PF00696|PF01842|PF22468
CK_00042377,CK_Syn_MEDNS5_01441,PF08448  PF16926  PF00512  PF13581,PF00512|PF13188
CK_00042379,CK_Cya_WH5701_12263,PF13641  PF02709,PF00535
CK_00042380,CK_Syn_PROS-9-1_00148, , 
CK_00042425,CK_Syn_CC9605_02214, ,PF01553
CK_00042429,CK_Syn_A18-46.1_02668,PF13540  PF13540  PF08548  PF00353  PF00353  PF00353,PF00353
CK_00042430,CK_Pro_MIT9401_00142,PF05686, 
CK_00042438,CK_Cya_WH5701_10405,PF03976,PF03976
CK_00042440,CK_Syn_A15-62_00183,PF14305,PF14305
CK_00042513,CK_Cya_PCC7001_00334,PF04230,PF04230
CK_00042533,CK_Syn_A15-62_00138,PF13469,PF01527
CK_00042584,CK_Pro_MIT0601_01282,PF06325  PF05148,PF13489
CK_00042604,CK_Pro_MIT9202_01505,PF16889  PF07940, 
CK_00042640,CK_Pro_MIT9202_01736, , 
CK_00042642,CK_Pro_MIT9202_00181, , 
CK_00042681,CK_Syn_ROS8604_02468,PF08908,PF08908
CK_00042684,CK_Pro_MIT9202_00345,PF16993,PF00534
CK_00042699,CK_Pro_MIT9202_00447, , 
CK_00042707,CK_Syn_WH8016_00799,PF13392  PF00847,PF13392
CK_00042713,CK_Syn_WH8016_00803, , 
CK_00042737,CK_Syn_M16.1_50007, , 
CK_00042739,CK_Pro_MIT9202_00624, , 
CK_00042742,CK_Syn_ROS8604_02469,PF00892  PF06800, 
CK_00042746,CK_Pro_MIT9202_00716,PF13472,PF13472
CK_00042749,CK_Pro_MIT9202_00829, , 
CK_00042752,CK_Syn_WH8016_00814,PF10544,PF10544
CK_00042773,CK_Pro_MIT9202_00994,PF01697, 
CK_00042774,CK_Syn_WH8016_00826,PF05272,PF05272
CK_00042783,CK_Pro_MIT9202_00831, , 
CK_00042793,CK_Cya_PCC7001_00204, , 
CK_00042798,CK_Pro_MIT9302_01450, , 
CK_00042834,CK_Syn_WH8016_00591,PF10282  PF02239, 
CK_00042835,CK_Syn_MVIR-18-1_00222,PF08240  PF00389  PF02826  PF13602  PF01408  PF02894,PF00107|PF01408|PF08240|PF22725
CK_00042843,CK_Cya_PCC7001_01932,PF01339  PF03705  PF01739  PF00989  PF00015  PF13188  PF13596  PF00989  PF00989,PF01339|PF01739|PF03705|PF08447|PF13188|PF13596
CK_00042846,CK_Pro_MIT9211_03801, , 
CK_00042847,CK_Syn_KORDI-100_26830,PF04339,PF04339
CK_00042855,CK_Syn_CC9616_02445,PF00122  PF08282,PF00122
CK_00042867,CK_Syn_A18-25c_02358,PF00654,PF00654
CK_00042908,CK_Syn_A15-44_00558, , 
CK_00042917,CK_Pro_MIT9313_00139,PF14264,PF14264
CK_00042925,CK_Cya_WH5701_06891,PF05598  PF01609  PF13751,PF01609|PF05598
CK_00042928,CK_Syn_KORDI-100_29160,PF00082  PF01483  PF01483,PF00082|PF01483
CK_00042929,CK_Syn_PROS-7-1_00105,PF01041,PF01041
CK_00042949,CK_Syn_RS9916_36147,PF00501,PF00501
CK_00042954,CK_Syn_RS9902_00201,PF00059  PF07691  PF03160  PF03160  PF01915  PF07691  PF03160  PF03160, 
CK_00042958,CK_Syn_SYN20_00211,PF13579  PF00534,PF13692
CK_00042990,CK_Syn_NOUM97013_01086, , 
CK_00042997,CK_Syn_PROS-9-1_00208,PF05159, 
CK_00043004,CK_Pro_MIT9303_19071,PF03318  PF00353, 
CK_00043007,CK_Pro_MIT9314_01837,PF08421  PF13489  PF08484,PF08484|PF13489
CK_00043032,CK_Cya_PCC6307_01474,PF00128  PF02806,PF00128
CK_00043036,CK_Syn_M16.1_00094,PF12000  PF13692  PF13524,PF00534|PF12000
CK_00043051,CK_Pro_MIT0603_01702, , 
CK_00043062,CK_Syn_WH7805_14491,PF01755  PF03567  PF03567,PF01755
CK_00043081,CK_Syn_PROS-U-1_02083,PF08548  PF00353,PF00353
CK_00043091,CK_Pro_MIT9321_01808, , 
CK_00043095,CK_Syn_A15-44_00554,PF04098,PF04098
CK_00043103,CK_Syn_ROS8604_02248, , 
CK_00043110,CK_Syn_WH7805_13228, , 
CK_00043115,CK_Syn_ROS8604_02257,PF01464,PF18896
CK_00043141,CK_Pro_MIT0701_02616,PF01510,PF01510
CK_00043167,CK_Syn_A15-127_01839, , 
CK_00043185,CK_Syn_WH8016_00399, , 
CK_00043197,CK_Cya_NS01_00109,PF03559  PF03559  PF03559,PF03559
CK_00043214,CK_Syn_A15-127_01943, , 
CK_00043246,CK_Syn_WH8016_00757,PF12167  PF00589, 
CK_00043264,CK_Pro_MIT0701_00193,PF06060  PF06060,PF00353|PF13946
CK_00043266,CK_Syn_BIOS-E4-1_01133,PF03492,PF03492
CK_00043301,CK_Syn_KORDI-52_11350, ,PF00355
CK_00043308,CK_Syn_CC9311_01512,PF12860  PF00990  PF00990  PF00563,PF00563|PF00990
CK_00043315,CK_Syn_KORDI-52_11000,PF00990,PF00990
CK_00043324,CK_Syn_WH8103_02634,PF00685, 
CK_00043341,CK_Syn_KORDI-52_08310, , 
CK_00043362,CK_Syn_KORDI-52_01990,PF00685, 
CK_00043392,CK_Syn_MINOS11_00663,PF05935,PF14269
CK_00043402,CK_Syn_A18-46.1_00464, , 
CK_00043415,CK_Syn_RS9907_01964, ,PF00126
CK_00043416,CK_Pro_MIT9107_00475, , 
CK_00043442,CK_Pro_MIT9401_00135, , 
CK_00043447,CK_Syn_A15-28_00630,PF09818, 
CK_00043462,CK_Syn_WH8103_00528,PF02540,PF03054
CK_00043480,CK_Syn_RS9916_40493, , 
CK_00043493,CK_Syn_A18-40_00423, , 
CK_00043494,CK_Pro_MIT9314_01812,PF11968,PF08241
CK_00043499,CK_Syn_BIOS-U3-1_00208,PF06728  PF05007, 
CK_00043505,CK_Syn_MEDNS5_02164,PF02321  PF02321,PF02321
CK_00043517,CK_Syn_PROS-U-1_00101, , 
CK_00043519,CK_Pro_MIT0604_01708,PF09594  PF00485,PF00485
CK_00043520,CK_Syn_CC9616_00624,PF13429  PF13424  PF13432  PF13759,PF13759
CK_00043541,CK_Syn_PROS-9-1_00247,PF04932,PF04932
CK_00043543,CK_Pro_MIT9311_01094,PF04506, 
CK_00043554,CK_Syn_A18-40_00474,PF13578,PF13578
CK_00043558,CK_Syn_BIOS-E4-1_03470,PF16793  PF08707  PF13148,PF13148
CK_00043559,CK_Syn_KORDI-100_13270,PF07483  PF07483  PF00028  PF17936  PF07602  PF13229  PF03781  PF17892  PF17936  PF17936  PF00028,PF03781|PF07602|PF17963|PF19077
CK_00043579,CK_Syn_A18-40_00420,PF13641,PF00535|PF05045
CK_00043590,CK_Syn_RS9916_40489,PF05159, 
CK_00043591,CK_Syn_RS9916_40490,PF00534, 
CK_00043593,CK_Syn_RS9916_40485,PF05090, 
CK_00043594,CK_Syn_RS9916_40491, , 
CK_00043604,CK_Pro_MIT0702_01198,PF13440  PF14667,PF01943
CK_00043611,CK_Syn_PROS-U-1_02055,PF06863  PF06863  PF06742,PF06742|PF06863
CK_00043619,CK_Pro_MIT0603_01587,PF04311, 
CK_00043623,CK_Syn_RS9916_37482,PF04464,PF04464
CK_00043635,CK_Syn_PROS-9-1_00750, , 
CK_00043639,CK_Syn_ROS8604_01003,PF14700,PF00940|PF14700
CK_00043657,CK_Pro_MIT9321_01822,PF01075,PF01075
CK_00043661,CK_Pro_MED4_01228, , 
CK_00043682,CK_Syn_MINOS11_00053,PF13472,PF00657
CK_00043696,CK_Syn_RS9917_12205, , 
CK_00043705,CK_Syn_ROS8604_02926, , 
CK_00043706,CK_Syn_ROS8604_02927,PF11583  PF11583, 
CK_00043707,CK_Syn_WH7805_10778,PF18604  PF02655  PF18105,PF18105
CK_00043742,CK_Pro_MIT9303_03781,PF02450,PF02450
CK_00043753,CK_Cya_WH5701_12273,PF13403,PF13403
CK_00043779,CK_Pro_MIT9303_13011,PF14559  PF12895  PF14853  PF13432, 
CK_00043786,CK_Syn_A15-44_00174,PF16363,PF01370
CK_00043794,CK_Pro_MIT9303_01451,PF15617,PF03328
CK_00043803,CK_Pro_MIT9321_00361, , 
CK_00043811,CK_Pro_MIT9515_14121,PF01370  PF02719,PF01370
CK_00043819,CK_Syn_MEDNS5_00959,PF01925,PF01925
CK_00043827,CK_Syn_RS9916_27679, ,PF00353
CK_00043833,CK_Cya_CB0101_07530,PF06862  PF16124  PF09382  PF00570,PF00270|PF00271|PF00570|PF09382|PF16124
CK_00043836,CK_Cya_NS01_02160,PF18306  PF03641,PF03641
CK_00043837,CK_Syn_WH8101_01710,PF00890  PF04820  PF05834,PF01494
CK_00043865,CK_Syn_ROS8604_00412,PF14907,PF14907
CK_00043871,CK_Syn_A18-40_00418, , 
CK_00043875,CK_Pro_MIT0801_02184,PF13946  PF13946  PF03160  PF03160  PF03160  PF03160  PF03160  PF08548  PF00353  PF08548  PF08548  PF08548  PF00353,PF00353|PF13946
CK_00043887,CK_Syn_RS9909_00241,PF05693, 
CK_00043889,CK_Syn_RS9909_00237, , 
CK_00043891,CK_Syn_RS9917_13933,PF13614,PF01656
CK_00043893,CK_Syn_RS9917_13952,PF16363,PF16363
CK_00043900,CK_Pro_MIT0701_02670,PF00959, 
CK_00043901,CK_Syn_ROS8604_00433, ,PF00733
CK_00043913,CK_Pro_MIT9123_01207,PF11924,PF11924
CK_00043914,CK_Syn_MITS9220_02385,PF01618, 
CK_00043944,CK_Pro_UH18301_01967, , 
CK_00043960,CK_Cya_PCC7001_00223,PF01636  PF13671  PF13671,PF01636|PF13671
CK_00043962,CK_Syn_MVIR-18-1_00273,PF03552  PF13632,PF00535
CK_00043970,CK_Pro_EQPAC1_00293,PF14099,PF14099
CK_00043992,CK_Syn_KORDI-100_14100,PF09826  PF08309  PF08309  PF09826  PF08309  PF08309  PF00028  PF08548  PF00353  PF00353  PF00353  PF00353, 
CK_00044017,CK_Syn_WH8016_01551,PF00953,PF00953
CK_00044045,CK_Pro_MIT0603_01483,PF13304,PF00005
CK_00044056,CK_Syn_NOUM97013_00090,PF08548  PF00353,PF00353
CK_00044079,CK_Syn_BIOS-E4-1_02150,PF07914,PF02958
CK_00044081,CK_Pro_MIT9311_01155,PF05159, 
CK_00044085,CK_Syn_A15-60_00802, ,PF04055
CK_00044103,CK_Cya_PCC6307_01203,PF13579  PF00982,PF13439|PF13692
CK_00044129,CK_Cya_PCC6307_02893,PF08269  PF00672,PF00672
CK_00044131,CK_Pro_SS51_00473,PF10544,PF10544
CK_00044132,CK_Syn_A15-28_02563,PF13505,PF13505
CK_00044133,CK_Syn_RS9907_02489,PF04672,PF13489
CK_00044134,CK_Syn_WH8020_01636,PF14513  PF13405  PF13499  PF00491,PF00491|PF13202|PF13499
CK_00044152,CK_Cya_PCC7001_01673,PF13524,PF13524
CK_00044156,CK_Syn_WH8101_00127,PF00449  PF07969  PF01979,PF07969
CK_00044160,CK_Pro_MIT9314_01844,PF00852,PF00852
CK_00044167,CK_Syn_WH8103_00557,PF04577,PF04577
CK_00044212,CK_Syn_ROS8604_01292,PF08548  PF00353, 
CK_00044222,CK_Syn_MINOS11_00431,PF16576  PF00529,PF16576
CK_00044224,CK_Syn_KORDI-52_26480,PF04055  PF13186,PF04055|PF13353
CK_00044231,CK_Pro_MED4_01233,PF04321,PF04321
CK_00044247,CK_Syn_KORDI-52_28140, ,PF00685
CK_00044248,CK_Syn_KORDI-52_28130, , 
CK_00044277,CK_Syn_RS9907_02578,PF00059  PF00059  PF00059  PF00059  PF00028  PF00028  PF13753  PF13205  PF13753  PF13753, 
CK_00044285,CK_Syn_ROS8604_02227,PF05272,PF05272
CK_00044291,CK_Syn_ROS8604_02222, , 
CK_00044296,CK_Syn_ROS8604_02224, , 
CK_00044308,CK_Syn_RS9909_01736,PF07992,PF07992
CK_00044319,CK_Pro_MIT9321_01826,PF03721  PF00984  PF00984  PF03720,PF00984|PF03720|PF03721
CK_00044348,CK_Syn_M16.1_02103,PF05050  PF03269,PF08242
CK_00044349,CK_Syn_M16.1_02097, , 
CK_00044354,CK_Syn_M16.1_02142, , 
CK_00044357,CK_Syn_M16.1_02118,PF16576  PF00529  PF16576,PF13437|PF13533
CK_00044386,CK_Cya_WH5701_07136,PF02638,PF02638
CK_00044398,CK_Syn_SYN20_00136,PF13407,PF13407
CK_00044466,CK_Cya_WH5701_08554,PF05598  PF01609  PF13751,PF05598|PF13586
CK_00044480,CK_Cya_CB0101_01761,PF08548  PF00353  PF08548  PF00353,PF00353
CK_00044481,CK_Cya_WH5701_13930,PF13727  PF02719,PF02719
CK_00044490,CK_Syn_WH7805_04641,PF13946  PF08548  PF08548  PF00353  PF08548  PF00353  PF00353,PF00353
CK_00044494,CK_Pro_MIT0601_01646, , 
CK_00044510,CK_Syn_SYN20_00202,PF00132  PF14602  PF05523,PF05523
CK_00044517,CK_Syn_WH7805_05236,PF00939,PF00939
CK_00044537,CK_Syn_RS9907_00402, , 
CK_00044540,CK_Cya_NS01_00191,PF12000  PF13692  PF13524,PF00534|PF12000
CK_00044546,CK_Syn_WH7805_05771, , 
CK_00044554,CK_Pro_MIT0702_01061, , 
CK_00044555,CK_Pro_MIT0702_03060,PF01875  PF01871,PF01871|PF01875
CK_00044569,CK_Syn_A15-127_02183,PF17892  PF08548  PF00353  PF00353  PF00353  PF00353,PF00353|PF00413|PF17892
CK_00044570,CK_Cya_CB0101_07225,PF08240  PF16912,PF08240|PF13602
CK_00044595,CK_Pro_MIT9202_00508, , 
CK_00044620,CK_Syn_WH7805_00990,PF05618,PF05618
CK_00044623,CK_Syn_WH7805_00980,PF17990  PF18417,PF17990|PF18417
CK_00044665,CK_Pro_MIT9123_00905,PF01531,PF01531
CK_00044675,CK_Syn_RS9909_02539,PF00999,PF00999
CK_00044700,CK_Cya_CB0205_02627,PF09364  PF03894  PF09363  PF09363  PF09363,PF03894|PF09363|PF09364
CK_00044701,CK_Cya_PCC7001_02003,PF00501  PF00550  PF00975  PF00535  PF02709  PF13704,PF00501
CK_00044722,CK_Syn_BMK-MC-1_02025,PF03781,PF03781
CK_00044724,CK_Pro_MIT9322_01116,PF01075,PF01075
CK_00044726,CK_Cya_PCC6307_02641,PF12146,PF12146
CK_00044727,CK_Syn_BL107_05949, , 
CK_00044733,CK_Syn_PROS-9-1_02362, , 
CK_00044765,CK_Pro_MIT9401_00121,PF13383,PF05050
CK_00044779,CK_Syn_BIOS-U3-1_00675,PF13448, 
CK_00044796,CK_Syn_WH7805_00595,PF14023, 
CK_00044797,CK_Syn_WH7805_00590,PF12849,PF12849
CK_00044817,CK_Cya_WH5701_04220,PF01844  PF01230  PF01878  PF13391,PF13391
CK_00044818,CK_Cya_PCC7001_01748,PF01494  PF07976,PF01494
CK_00044841,CK_Syn_PROS-9-1_02407,PF06739  PF06739  PF17170  PF17963,PF00353
CK_00044844,CK_Syn_PROS-9-1_02412, , 
CK_00044846,CK_Syn_PROS-9-1_00245,PF00535  PF13506,PF00535
CK_00044847,CK_Syn_A15-127_02186,PF13688  PF05572, 
CK_00044853,CK_Cya_CB0101_06803,PF08643,PF00106
CK_00044854,CK_Syn_RS9915_00516,PF01757,PF01757
CK_00044856,CK_Syn_A15-44_02530,PF16258,PF16258
CK_00044882,CK_Syn_BIOS-U3-1_03266,PF13599  PF13576  PF00805  PF13424,PF00805
CK_00044898,CK_Syn_PROS-9-1_02383, , 
CK_00044902,CK_Syn_PROS-9-1_02384,PF08548  PF00353,PF00353
CK_00044913,CK_Syn_RS9907_00968,PF13148,PF13148
CK_00044931,CK_Syn_BMK-MC-1_02365, , 
CK_00044943,CK_Syn_BIOS-E4-1_04356,PF06027,PF00892
CK_00044947,CK_Pro_MIT0701_01484,PF00082,PF00082
CK_00044949,CK_Cya_PCC6307_02053,PF14319  PF04986,PF04986|PF14319
CK_00044969,CK_Syn_BMK-MC-1_02370,PF00899,PF00899
CK_00044972,CK_Syn_BMK-MC-1_02371,PF14464,PF14464
CK_00044982,CK_Syn_BMK-MC-1_02375, , 
CK_00044984,CK_Syn_BMK-MC-1_02374, , 
CK_00044996,CK_Syn_RS9907_02214,PF00535  PF17784  PF00535,PF00535
CK_00045014,CK_Syn_MVIR-18-1_00617, , 
CK_00045038,CK_Syn_M16.1_00112,PF01757,PF01757
CK_00045045,CK_Syn_M16.1_00085,PF08548  PF00353,PF00353
CK_00045051,CK_Pro_MIT9116_00223,PF00535  PF10111,PF00535
CK_00045053,CK_Syn_ROS8604_00814,PF08450  PF13360  PF08450, 
CK_00045055,CK_Syn_PROS-7-1_00287,PF17831  PF02780,PF02779|PF02780
CK_00045073,CK_Cya_CB0205_12737,PF01545  PF16916,PF01545
CK_00045076,CK_Pro_EQPAC1_01781,PF10544  PF04851,PF04851|PF10544
CK_00045105,CK_Cya_NS01_00169,PF14099,PF14099
CK_00045117,CK_Syn_ROS8604_02949,PF00239  PF13408,PF00239|PF13408
CK_00045118,CK_Pro_MIT9202_01253,PF01032,PF01032
CK_00045127,CK_Syn_KORDI-52_08260,PF04471  PF04471  PF01656,PF01656|PF04471
CK_00045139,CK_Cya_PCC7001_00915,PF08449,PF00892
CK_00045155,CK_Syn_BMK-MC-1_02270, , 
CK_00045179,CK_Pro_SS120_01538,PF01235,PF01235
CK_00045184,CK_Syn_BIOS-U3-1_01203,PF08241  PF03269,PF08242
CK_00045185,CK_Cya_CB0101_04404,PF05693,PF00534|PF13439
CK_00045190,CK_Syn_BMK-MC-1_01059,PF18029  PF00903,PF00903|PF18029
CK_00045191,CK_Syn_BMK-MC-1_02283, , 
CK_00045194,CK_Syn_BMK-MC-1_02425,PF00476,PF00476
CK_00045198,CK_Syn_BMK-MC-1_00307,PF12996  PF13524,PF13524
CK_00045202,CK_Syn_BMK-MC-1_00315,PF16363,PF16363
CK_00045215,CK_Syn_WH8109_01802, ,PF13481
CK_00045225,CK_Syn_BMK-MC-1_02398, , 
CK_00045236,CK_Syn_BMK-MC-1_00306, , 
CK_00045246,CK_Syn_SYN20_01022,PF00487,PF00487
CK_00045260,CK_Pro_MIT9215_04621, , 
CK_00045263,CK_Syn_A15-24_00147,PF01075, 
CK_00045264,CK_Pro_NATL1A_21081,PF07021,PF13489
CK_00045267,CK_Syn_ROS8604_00844, , 
CK_00045269,CK_Cya_WH5701_01700,PF13641  PF02709,PF00535|PF02709
