SeqCluster,Domain_IDs,ClusterNumber,Pfam_result
CK_00040633,PF10544,CK_Cya_PCC7001_00818,PF10544
CK_00040636,PF05045,CK_Cya_PCC7001_00882, 
CK_00040646,PF00589,CK_Cya_PCC7001_00999, 
CK_00040650,PF05050  PF00754,CK_Cya_PCC7001_00943,PF05050
CK_00040659, ,CK_Pro_MIT9303_08271, 
CK_00040660, ,CK_Syn_A15-24_01971, 
CK_00040665, ,CK_Pro_AS9601_14041, 
CK_00040666,PF13579  PF00534,CK_Pro_AS9601_14201, 
CK_00040667, ,CK_Pro_AS9601_13501, 
CK_00040671,PF01408,CK_Pro_AS9601_13411,PF01408
CK_00040672,PF00551,CK_Pro_AS9601_13431,PF00551
CK_00040675,PF05221  PF00670,CK_Pro_AS9601_13401,PF01408
CK_00040676,PF08881  PF01476  PF08881  PF01476  PF08881  PF01476  PF08881  PF01476,CK_Cya_NS01_02447,PF01476
CK_00040689,PF16576  PF00529  PF16576,CK_Syn_WH8102_00410,PF13437|PF13533
CK_00040691, ,CK_Pro_AS9601_14211, 
CK_00040718,PF00490,CK_Syn_WH7805_10593,PF00490
CK_00040721,PF13384  PF13565  PF00665  PF13683  PF09299,CK_Cya_NS01_00291,PF00665|PF13384|PF22483
CK_00040724,PF05050,CK_Syn_MINOS11_00655,PF05050
CK_00040737,PF13477  PF00534  PF13692,CK_Syn_A15-127_02340,PF00534|PF13477
CK_00040745, ,CK_Syn_A15-127_02356, 
CK_00040751,PF06325  PF05148,CK_Syn_A15-127_02354,PF08241
CK_00040753, ,CK_Pro_MIT9211_07771, 
CK_00040759,PF13432  PF14559  PF12862  PF13429,CK_Pro_MIT9302_01448, 
CK_00040764,PF01420  PF01420,CK_Pro_MIT9302_01393,PF01420
CK_00040766, ,CK_Syn_BIOS-E4-1_00826, 
CK_00040769, ,CK_Cya_CB0101_14539, 
CK_00040772,PF01209,CK_Pro_MIT9302_01519,PF08241
CK_00040777,PF09250  PF08707  PF13481  PF08279,CK_Syn_TAK9802_00886,PF08707|PF09250|PF13481
CK_00040778,PF00924  PF04831  PF00027,CK_Pro_MIT0701_02241,PF00027|PF00924|PF21082
CK_00040784, ,CK_Pro_MIT9302_01556, 
CK_00040785,PF08501  PF01262,CK_Pro_MIT9302_01550,PF08501
CK_00040786,PF13579  PF00982,CK_Pro_MIT9302_01555,PF00534
CK_00040787, ,CK_Pro_MIT9302_01522, 
CK_00040788,PF05159,CK_Pro_MIT9302_01544, 
CK_00040794,PF03837,CK_Syn_RS9907_02004,PF03837
CK_00040810, ,CK_Pro_MIT9302_01557, 
CK_00040814,PF10637,CK_Pro_MIT9302_01561,PF13640
CK_00040820, ,CK_Syn_WH8016_01683,PF18922
CK_00040824, ,CK_Pro_MIT9302_01566, 
CK_00040827, ,CK_Pro_MIT9302_01568, 
CK_00040872, ,CK_Pro_MIT9301_14371, 
CK_00040873,PF02274,CK_Pro_MIT9301_14361, 
CK_00040875, ,CK_Pro_MIT9301_14381,PF00685
CK_00040876,PF04339,CK_Pro_MIT9301_14191,PF13480
CK_00040877,PF01041,CK_Pro_MIT9301_14171,PF01053
CK_00040878, ,CK_Pro_MIT9301_14221, 
CK_00040879,PF05724,CK_Pro_MIT9301_14201, 
CK_00040889,PF01041,CK_Pro_MIT9211_07761,PF01041
CK_00040895, ,CK_Syn_BIOS-U3-1_00924, 
CK_00040897,PF02384  PF07669,CK_Pro_SS51_00471,PF20464|PF20465|PF20466|PF20467|PF20473
CK_00040899,PF13432  PF13414  PF01697,CK_Syn_WH8102_02294,PF13704
CK_00040900, ,CK_Pro_MIT9301_16101, 
CK_00040905,PF13432  PF13414  PF12862  PF13432,CK_Pro_MIT9302_00305,PF13181
CK_00040910, ,CK_Pro_MIT9301_16151, 
CK_00040921,PF17803  PF17892  PF08548  PF00353  PF00353  PF00353  PF00353,CK_Syn_RS9902_00065,PF00353
CK_00040925,PF03968  PF13100  PF06835,CK_Syn_A15-127_01427,PF06835
CK_00040935,PF13531,CK_Syn_KORDI-100_04240,PF13531
CK_00040942,PF14561  PF14559  PF13432  PF13432  PF13432,CK_Pro_MIT9302_00959,PF13181
CK_00040962,PF05721,CK_Syn_KORDI-100_01080,PF05721
CK_00040967, ,CK_Pro_MIT9302_01036, 
CK_00040968, ,CK_Cya_PCC7001_00452, 
CK_00040976,PF03235,CK_Cya_PCC7001_00005,PF03235
CK_00040985,PF01261,CK_Syn_A18-46.1_00479,PF01261
CK_00040996,PF13245  PF13087  PF13538,CK_Pro_MIT9302_00961,PF00580|PF13361
CK_00040998,PF00959,CK_Syn_RS9909_01310,PF00959|PF13529
CK_00041008, ,CK_Syn_WH8101_01889, 
CK_00041009,PF00535,CK_Pro_MIT0801_01728,PF00535
CK_00041012,PF16576  PF00529,CK_Syn_WH8101_01890,PF13533
CK_00041021,PF18551  PF00990,CK_Syn_WH8101_01887,PF00990|PF18551
CK_00041030,PF13599  PF13576  PF00805,CK_Syn_WH8101_01878,PF00805
CK_00041032,PF04228,CK_Cya_CB0205_10596, 
CK_00041085, ,CK_Syn_WH8102_01569, 
CK_00041087, ,CK_Syn_WH8101_01238, 
CK_00041106,PF13641  PF02348,CK_Pro_MIT9202_01827,PF00535|PF02348
CK_00041109,PF12215  PF12215  PF04685,CK_Syn_WH7803_01695,PF04685|PF12215
CK_00041112, ,CK_Syn_PROS-7-1_00703, 
CK_00041151,PF13692  PF13524,CK_Syn_A15-28_00148,PF13692
CK_00041152,PF16363,CK_Pro_MIT0603_01499,PF01370
CK_00041168,PF05401  PF08241,CK_Syn_WH8101_01321,PF13649
CK_00041183, ,CK_Syn_A15-127_01471, 
CK_00041188,PF05272,CK_Syn_A18-46.1_00971,PF05272
CK_00041209, ,CK_Pro_MIT9215_14801, 
CK_00041211,PF01408  PF08635,CK_Pro_MIT9215_14781,PF01408
CK_00041218, ,CK_Pro_MIT9215_14371, 
CK_00041220,PF07221,CK_Pro_MIT9215_14321,PF07221
CK_00041222, ,CK_Pro_MIT9215_14581, 
CK_00041229, ,CK_Pro_MIT9215_14611, 
CK_00041232,PF13579  PF13692  PF13524,CK_Pro_MIT9215_14601,PF00534
CK_00041234,PF01408,CK_Pro_MIT9215_14671,PF01408
CK_00041236,PF13847  PF16472,CK_Pro_MIT9215_14621, 
CK_00041251,PF10096,CK_Pro_MIT0602_01454,PF10096
CK_00041252,PF10145,CK_Syn_PROS-U-1_02122,PF10145
CK_00041259,PF13579  PF13692,CK_Syn_A15-62_01788, 
CK_00041260,PF02719,CK_Syn_A18-46.1_00501,PF02719
CK_00041261,PF05050,CK_Pro_MIT9215_14291, 
CK_00041263, ,CK_Pro_MIT9215_14281, 
CK_00041264, ,CK_Syn_A18-46.1_00496, 
CK_00041265, ,CK_Pro_MIT9215_14241, 
CK_00041268,PF13579  PF00534,CK_Syn_A18-46.1_00495,PF00534
CK_00041269,PF00483  PF02348,CK_Syn_A18-46.1_00488,PF02348
CK_00041270, ,CK_Syn_A18-46.1_00490, 
CK_00041276,PF02353  PF06859,CK_Syn_A18-46.1_00485,PF13489
CK_00041277, ,CK_Pro_MIT9215_12761, 
CK_00041281,PF05721,CK_Pro_MIT9215_14181,PF05721
CK_00041283, ,CK_Pro_MIT9215_13721, 
CK_00041288,PF14145  PF14145,CK_Pro_MIT9313_00473,PF14145
CK_00041292,PF01479  PF01728,CK_Cya_PCC6307_03066,PF01479|PF01728
CK_00041295,PF08548  PF00353  PF13946,CK_Pro_MIT9303_25101,PF00353
CK_00041307, ,CK_Syn_A18-46.1_00482, 
CK_00041308, ,CK_Syn_A18-46.1_00484, 
CK_00041315,PF02350,CK_Pro_MIT9301_14041, 
CK_00041326, ,CK_Pro_MIT9301_07051, 
CK_00041335,PF04278,CK_Cya_CB0101_05436,PF04278
CK_00041343,PF13489,CK_Syn_A18-46.1_00384,PF13489
CK_00041355,PF16822,CK_Pro_MIT9215_17951, 
CK_00041361, ,CK_Pro_MIT9215_16871, 
CK_00041369,PF12481  PF00733,CK_Pro_MIT9215_14841,PF00733
CK_00041375, ,CK_Pro_MIT9302_01372, 
CK_00041378,PF04007,CK_Syn_A15-62_01786,PF00534
CK_00041446,PF09243,CK_Syn_A15-127_02396,PF08242
CK_00041490, ,CK_Syn_A15-28_00123, 
CK_00041495,PF03382  PF03382  PF03382  PF13205  PF13205  PF17210  PF17210  PF03797,CK_Pro_MIT9401_00921,PF03382|PF03797|PF13205|PF13620
CK_00041512,PF05159,CK_Syn_WH8101_00235, 
CK_00041551,PF03379,CK_Syn_BIOS-E4-1_03376,PF01061
CK_00041582,PF13432  PF05704,CK_Syn_RS9915_00460, 
CK_00041596,PF04326,CK_Pro_MIT9215_04491,PF04326
CK_00041608,PF12965  PF02399,CK_Syn_BIOS-E4-1_00238,PF12965
CK_00041611,PF09258,CK_Cya_NS01_02121, 
CK_00041621, ,CK_Syn_A15-24_02641, 
CK_00041627, ,CK_Pro_MIT9215_12661, 
CK_00041628,PF00156,CK_Pro_MIT9215_12671, 
CK_00041631,PF04932,CK_Pro_UH18301_00682, 
CK_00041635,PF01234,CK_Syn_A15-44_01792,PF08241
CK_00041636,PF00449  PF07969,CK_Cya_CB0101_05014,PF07969
CK_00041640,PF04464  PF05159,CK_Pro_UH18301_00679, 
CK_00041643,PF04991,CK_Pro_UH18301_00680,PF04991
CK_00041651,PF13489,CK_Cya_CB0205_07908,PF13489
CK_00041654,PF09976  PF13469,CK_Syn_PROS-U-1_02624,PF13181|PF13469
CK_00041665, ,CK_Pro_MIT9211_14941, 
CK_00041671,PF16261,CK_Pro_MIT9211_14931,PF16261
CK_00041691,PF02779  PF02779  PF02780,CK_Pro_EQPAC1_00794,PF02779
CK_00041726,PF14307,CK_Pro_MIT0703_00969,PF14307
CK_00041731, ,CK_Cya_PCC7001_00696, 
CK_00041765,PF00672  PF07228,CK_Cya_PCC6307_00668,PF00672|PF07228
CK_00041767,PF00924,CK_Syn_PROS-7-1_02801,PF00924|PF21082|PF21088
CK_00041768,PF05159,CK_Pro_MIT9211_12901, 
CK_00041770,PF00126  PF03466,CK_Syn_A18-25c_02116,PF00126|PF03466
CK_00041772,PF05345  PF08548  PF00353  PF00353,CK_Syn_PROS-U-1_01188,PF00353
CK_00041773,PF01145,CK_Syn_KORDI-52_05400,PF01145
CK_00041778,PF13421  PF09851,CK_Pro_SS35_01523,PF09851|PF13421
CK_00041779, ,CK_Pro_MIT9211_13021, 
CK_00041781,PF13419,CK_Pro_MIT9211_13001,PF00702
CK_00041782, ,CK_Pro_MIT9211_14491, 
CK_00041787, ,CK_Syn_KORDI-100_23180, 
CK_00041809,PF00899  PF02624,CK_Pro_MIT0703_02525,PF02624|PF21084
CK_00041810,PF13495  PF16795,CK_Syn_A15-62_02141,PF00589
CK_00041819,PF07021,CK_Pro_UH18301_01989,PF07021
CK_00041821, ,CK_Pro_UH18301_01990, 
CK_00041841, ,CK_Pro_UH18301_01965, 
CK_00041867,PF08548  PF00353  PF08548,CK_Syn_PROS-U-1_00945, 
CK_00041949, ,CK_Syn_A18-46.1_01918, 
CK_00041979, ,CK_Syn_PROS-U-1_00448, 
CK_00041993, ,CK_Syn_A15-127_00867, 
CK_00041994,PF03544,CK_Syn_A15-127_00864,PF03544
CK_00041997, ,CK_Syn_A15-127_00902, 
CK_00042022,PF12919  PF12919,CK_Syn_A18-46.1_01297,PF05704
CK_00042045,PF03160  PF00082,CK_Syn_A15-127_02787,PF00082|PF03160
CK_00042076,PF03071,CK_Syn_NOUM97013_00236,PF00535
CK_00042110,PF00551,CK_Syn_NOUM97013_00677,PF00551
CK_00042121,PF12996  PF13524,CK_Syn_NOUM97013_00256, 
CK_00042122, ,CK_Syn_NOUM97013_00253, 
CK_00042127, ,CK_Syn_NOUM97013_00251, 
CK_00042130,PF00701,CK_Syn_NOUM97013_00237,PF00701
CK_00042133,PF05159,CK_Syn_NOUM97013_00238, 
CK_00042157,PF13621,CK_Syn_NOUM97013_02762,PF13621
CK_00042242, ,CK_Syn_RS9916_32297, 
CK_00042247,PF12951  PF03797,CK_Syn_RS9909_00856,PF03797
CK_00042249, ,CK_Syn_A18-25c_01436, 
CK_00042254, ,CK_Syn_A18-40_00422, 
CK_00042255,PF04612,CK_Pro_MIT9301_06951, 
CK_00042257,PF13432  PF12895  PF01075,CK_Syn_A15-24_00127,PF01075
CK_00042258, ,CK_Syn_RS9909_00358, 
CK_00042259,PF08881  PF01476  PF08881  PF01476  PF08881  PF01476,CK_Cya_WH5701_06901,PF01476
CK_00042262,PF06325  PF05148,CK_Pro_MIT9302_01523,PF08241
CK_00042269,PF04326  PF13749,CK_Cya_NS01_01169,PF04326|PF13749
CK_00042275,PF00654  PF00478  PF00571,CK_Cya_CB0205_08980,PF00654
CK_00042278, ,CK_Syn_ROS8604_02264, 
CK_00042279, ,CK_Syn_A15-44_00587, 
CK_00042280, ,CK_Cya_NS01_01813, 
CK_00042281,PF11765  PF11765  PF08548  PF00353  PF08548  PF00353,CK_Pro_MIT0703_00764,PF00353
CK_00042285,PF12705,CK_Syn_CC9605_00782,PF12705
CK_00042292,PF02353,CK_Syn_KORDI-49_22400,PF08241
CK_00042301,PF01234,CK_Syn_RS9916_32382,PF13649
CK_00042303,PF02668,CK_Syn_RS9916_32377,PF02668
CK_00042315,PF13712,CK_Pro_MIT0702_01760,PF00535
CK_00042320,PF01590  PF00990,CK_Cya_WH5701_12798,PF00990|PF01590
CK_00042324,PF04321,CK_Syn_NOUM97013_00100,PF04321
CK_00042326,PF12895  PF17874  PF01075,CK_Syn_PROS-U-1_00147,PF01075
CK_00042330, ,CK_Syn_KORDI-49_22280, 
CK_00042338, ,CK_Syn_KORDI-49_22300, 
CK_00042341,PF13469,CK_Syn_KORDI-49_22290,PF13469
CK_00042345, ,CK_Syn_A15-60_00118,PF11735
CK_00042347,PF00535  PF13506,CK_Syn_KORDI-49_22260, 
CK_00042359,PF06230,CK_Cya_NS01_02752,PF06230|PF17930
CK_00042375,PF00696  PF01842  PF13840  PF01842  PF13840,CK_Syn_M16.1_00072,PF00696|PF01842|PF22468
CK_00042377,PF08448  PF16926  PF00512  PF13581,CK_Syn_MEDNS5_01441,PF00512|PF13188
CK_00042379,PF13641  PF02709,CK_Cya_WH5701_12263,PF00535
CK_00042380, ,CK_Syn_PROS-9-1_00148, 
CK_00042425, ,CK_Syn_CC9605_02214,PF01553
CK_00042429,PF13540  PF13540  PF08548  PF00353  PF00353  PF00353,CK_Syn_A18-46.1_02668,PF00353
CK_00042430,PF05686,CK_Pro_MIT9401_00142, 
CK_00042438,PF03976,CK_Cya_WH5701_10405,PF03976
CK_00042440,PF14305,CK_Syn_A15-62_00183,PF14305
CK_00042513,PF04230,CK_Cya_PCC7001_00334,PF04230
CK_00042533,PF13469,CK_Syn_A15-62_00138,PF01527
CK_00042584,PF06325  PF05148,CK_Pro_MIT0601_01282,PF13489
CK_00042604,PF16889  PF07940,CK_Pro_MIT9202_01505, 
CK_00042640, ,CK_Pro_MIT9202_01736, 
CK_00042642, ,CK_Pro_MIT9202_00181, 
CK_00042681,PF08908,CK_Syn_ROS8604_02468,PF08908
CK_00042684,PF16993,CK_Pro_MIT9202_00345,PF00534
CK_00042699, ,CK_Pro_MIT9202_00447, 
CK_00042707,PF13392  PF00847,CK_Syn_WH8016_00799,PF13392
CK_00042713, ,CK_Syn_WH8016_00803, 
CK_00042737, ,CK_Syn_M16.1_50007, 
CK_00042739, ,CK_Pro_MIT9202_00624, 
CK_00042742,PF00892  PF06800,CK_Syn_ROS8604_02469, 
CK_00042746,PF13472,CK_Pro_MIT9202_00716,PF13472
CK_00042749, ,CK_Pro_MIT9202_00829, 
CK_00042752,PF10544,CK_Syn_WH8016_00814,PF10544
CK_00042773,PF01697,CK_Pro_MIT9202_00994, 
CK_00042774,PF05272,CK_Syn_WH8016_00826,PF05272
CK_00042783, ,CK_Pro_MIT9202_00831, 
CK_00042793, ,CK_Cya_PCC7001_00204, 
CK_00042798, ,CK_Pro_MIT9302_01450, 
CK_00042834,PF10282  PF02239,CK_Syn_WH8016_00591, 
CK_00042835,PF08240  PF00389  PF02826  PF13602  PF01408  PF02894,CK_Syn_MVIR-18-1_00222,PF00107|PF01408|PF08240|PF22725
CK_00042843,PF01339  PF03705  PF01739  PF00989  PF00015  PF13188  PF13596  PF00989  PF00989,CK_Cya_PCC7001_01932,PF01339|PF01739|PF03705|PF08447|PF13188|PF13596
CK_00042846, ,CK_Pro_MIT9211_03801, 
CK_00042847,PF04339,CK_Syn_KORDI-100_26830,PF04339
CK_00042855,PF00122  PF08282,CK_Syn_CC9616_02445,PF00122
CK_00042867,PF00654,CK_Syn_A18-25c_02358,PF00654
CK_00042908, ,CK_Syn_A15-44_00558, 
CK_00042917,PF14264,CK_Pro_MIT9313_00139,PF14264
CK_00042925,PF05598  PF01609  PF13751,CK_Cya_WH5701_06891,PF01609|PF05598
CK_00042928,PF00082  PF01483  PF01483,CK_Syn_KORDI-100_29160,PF00082|PF01483
CK_00042929,PF01041,CK_Syn_PROS-7-1_00105,PF01041
CK_00042949,PF00501,CK_Syn_RS9916_36147,PF00501
CK_00042954,PF00059  PF07691  PF03160  PF03160  PF01915  PF07691  PF03160  PF03160,CK_Syn_RS9902_00201, 
CK_00042958,PF13579  PF00534,CK_Syn_SYN20_00211,PF13692
CK_00042990, ,CK_Syn_NOUM97013_01086, 
CK_00042997,PF05159,CK_Syn_PROS-9-1_00208, 
CK_00043004,PF03318  PF00353,CK_Pro_MIT9303_19071, 
CK_00043007,PF08421  PF13489  PF08484,CK_Pro_MIT9314_01837,PF08484|PF13489
CK_00043032,PF00128  PF02806,CK_Cya_PCC6307_01474,PF00128
CK_00043036,PF12000  PF13692  PF13524,CK_Syn_M16.1_00094,PF00534|PF12000
CK_00043051, ,CK_Pro_MIT0603_01702, 
CK_00043062,PF01755  PF03567  PF03567,CK_Syn_WH7805_14491,PF01755
CK_00043081,PF08548  PF00353,CK_Syn_PROS-U-1_02083,PF00353
CK_00043091, ,CK_Pro_MIT9321_01808, 
CK_00043095,PF04098,CK_Syn_A15-44_00554,PF04098
CK_00043103, ,CK_Syn_ROS8604_02248, 
CK_00043110, ,CK_Syn_WH7805_13228, 
CK_00043115,PF01464,CK_Syn_ROS8604_02257,PF18896
CK_00043141,PF01510,CK_Pro_MIT0701_02616,PF01510
CK_00043167, ,CK_Syn_A15-127_01839, 
CK_00043185, ,CK_Syn_WH8016_00399, 
CK_00043197,PF03559  PF03559  PF03559,CK_Cya_NS01_00109,PF03559
CK_00043214, ,CK_Syn_A15-127_01943, 
CK_00043246,PF12167  PF00589,CK_Syn_WH8016_00757, 
CK_00043264,PF06060  PF06060,CK_Pro_MIT0701_00193,PF00353|PF13946
CK_00043266,PF03492,CK_Syn_BIOS-E4-1_01133,PF03492
CK_00043301, ,CK_Syn_KORDI-52_11350,PF00355
CK_00043308,PF12860  PF00990  PF00990  PF00563,CK_Syn_CC9311_01512,PF00563|PF00990
CK_00043315,PF00990,CK_Syn_KORDI-52_11000,PF00990
CK_00043324,PF00685,CK_Syn_WH8103_02634, 
CK_00043341, ,CK_Syn_KORDI-52_08310, 
CK_00043362,PF00685,CK_Syn_KORDI-52_01990, 
CK_00043392,PF05935,CK_Syn_MINOS11_00663,PF14269
CK_00043402, ,CK_Syn_A18-46.1_00464, 
CK_00043415, ,CK_Syn_RS9907_01964,PF00126
CK_00043416, ,CK_Pro_MIT9107_00475, 
CK_00043442, ,CK_Pro_MIT9401_00135, 
CK_00043447,PF09818,CK_Syn_A15-28_00630, 
CK_00043462,PF02540,CK_Syn_WH8103_00528,PF03054
CK_00043480, ,CK_Syn_RS9916_40493, 
CK_00043493, ,CK_Syn_A18-40_00423, 
CK_00043494,PF11968,CK_Pro_MIT9314_01812,PF08241
CK_00043499,PF06728  PF05007,CK_Syn_BIOS-U3-1_00208, 
CK_00043505,PF02321  PF02321,CK_Syn_MEDNS5_02164,PF02321
CK_00043517, ,CK_Syn_PROS-U-1_00101, 
CK_00043519,PF09594  PF00485,CK_Pro_MIT0604_01708,PF00485
CK_00043520,PF13429  PF13424  PF13432  PF13759,CK_Syn_CC9616_00624,PF13759
CK_00043541,PF04932,CK_Syn_PROS-9-1_00247,PF04932
CK_00043543,PF04506,CK_Pro_MIT9311_01094, 
CK_00043554,PF13578,CK_Syn_A18-40_00474,PF13578
CK_00043558,PF16793  PF08707  PF13148,CK_Syn_BIOS-E4-1_03470,PF13148
CK_00043559,PF07483  PF07483  PF00028  PF17936  PF07602  PF13229  PF03781  PF17892  PF17936  PF17936  PF00028,CK_Syn_KORDI-100_13270,PF03781|PF07602|PF17963|PF19077
CK_00043579,PF13641,CK_Syn_A18-40_00420,PF00535|PF05045
CK_00043590,PF05159,CK_Syn_RS9916_40489, 
CK_00043591,PF00534,CK_Syn_RS9916_40490, 
CK_00043593,PF05090,CK_Syn_RS9916_40485, 
CK_00043594, ,CK_Syn_RS9916_40491, 
CK_00043604,PF13440  PF14667,CK_Pro_MIT0702_01198,PF01943
CK_00043611,PF06863  PF06863  PF06742,CK_Syn_PROS-U-1_02055,PF06742|PF06863
CK_00043619,PF04311,CK_Pro_MIT0603_01587, 
CK_00043623,PF04464,CK_Syn_RS9916_37482,PF04464
CK_00043635, ,CK_Syn_PROS-9-1_00750, 
CK_00043639,PF14700,CK_Syn_ROS8604_01003,PF00940|PF14700
CK_00043657,PF01075,CK_Pro_MIT9321_01822,PF01075
CK_00043661, ,CK_Pro_MED4_01228, 
CK_00043682,PF13472,CK_Syn_MINOS11_00053,PF00657
CK_00043696, ,CK_Syn_RS9917_12205, 
CK_00043705, ,CK_Syn_ROS8604_02926, 
CK_00043706,PF11583  PF11583,CK_Syn_ROS8604_02927, 
CK_00043707,PF18604  PF02655  PF18105,CK_Syn_WH7805_10778,PF18105
CK_00043742,PF02450,CK_Pro_MIT9303_03781,PF02450
CK_00043753,PF13403,CK_Cya_WH5701_12273,PF13403
CK_00043779,PF14559  PF12895  PF14853  PF13432,CK_Pro_MIT9303_13011, 
CK_00043786,PF16363,CK_Syn_A15-44_00174,PF01370
CK_00043794,PF15617,CK_Pro_MIT9303_01451,PF03328
CK_00043803, ,CK_Pro_MIT9321_00361, 
CK_00043811,PF01370  PF02719,CK_Pro_MIT9515_14121,PF01370
CK_00043819,PF01925,CK_Syn_MEDNS5_00959,PF01925
CK_00043827, ,CK_Syn_RS9916_27679,PF00353
CK_00043833,PF06862  PF16124  PF09382  PF00570,CK_Cya_CB0101_07530,PF00270|PF00271|PF00570|PF09382|PF16124
CK_00043836,PF18306  PF03641,CK_Cya_NS01_02160,PF03641
CK_00043837,PF00890  PF04820  PF05834,CK_Syn_WH8101_01710,PF01494
CK_00043865,PF14907,CK_Syn_ROS8604_00412,PF14907
CK_00043871, ,CK_Syn_A18-40_00418, 
CK_00043875,PF13946  PF13946  PF03160  PF03160  PF03160  PF03160  PF03160  PF08548  PF00353  PF08548  PF08548  PF08548  PF00353,CK_Pro_MIT0801_02184,PF00353|PF13946
CK_00043887,PF05693,CK_Syn_RS9909_00241, 
CK_00043889, ,CK_Syn_RS9909_00237, 
CK_00043891,PF13614,CK_Syn_RS9917_13933,PF01656
CK_00043893,PF16363,CK_Syn_RS9917_13952,PF16363
CK_00043900,PF00959,CK_Pro_MIT0701_02670, 
CK_00043901, ,CK_Syn_ROS8604_00433,PF00733
CK_00043913,PF11924,CK_Pro_MIT9123_01207,PF11924
CK_00043914,PF01618,CK_Syn_MITS9220_02385, 
CK_00043944, ,CK_Pro_UH18301_01967, 
CK_00043960,PF01636  PF13671  PF13671,CK_Cya_PCC7001_00223,PF01636|PF13671
CK_00043962,PF03552  PF13632,CK_Syn_MVIR-18-1_00273,PF00535
CK_00043970,PF14099,CK_Pro_EQPAC1_00293,PF14099
CK_00043992,PF09826  PF08309  PF08309  PF09826  PF08309  PF08309  PF00028  PF08548  PF00353  PF00353  PF00353  PF00353,CK_Syn_KORDI-100_14100, 
CK_00044017,PF00953,CK_Syn_WH8016_01551,PF00953
CK_00044045,PF13304,CK_Pro_MIT0603_01483,PF00005
CK_00044056,PF08548  PF00353,CK_Syn_NOUM97013_00090,PF00353
CK_00044079,PF07914,CK_Syn_BIOS-E4-1_02150,PF02958
CK_00044081,PF05159,CK_Pro_MIT9311_01155, 
CK_00044085, ,CK_Syn_A15-60_00802,PF04055
CK_00044103,PF13579  PF00982,CK_Cya_PCC6307_01203,PF13439|PF13692
CK_00044129,PF08269  PF00672,CK_Cya_PCC6307_02893,PF00672
CK_00044131,PF10544,CK_Pro_SS51_00473,PF10544
CK_00044132,PF13505,CK_Syn_A15-28_02563,PF13505
CK_00044133,PF04672,CK_Syn_RS9907_02489,PF13489
CK_00044134,PF14513  PF13405  PF13499  PF00491,CK_Syn_WH8020_01636,PF00491|PF13202|PF13499
CK_00044152,PF13524,CK_Cya_PCC7001_01673,PF13524
CK_00044156,PF00449  PF07969  PF01979,CK_Syn_WH8101_00127,PF07969
CK_00044160,PF00852,CK_Pro_MIT9314_01844,PF00852
CK_00044167,PF04577,CK_Syn_WH8103_00557,PF04577
CK_00044212,PF08548  PF00353,CK_Syn_ROS8604_01292, 
CK_00044222,PF16576  PF00529,CK_Syn_MINOS11_00431,PF16576
CK_00044224,PF04055  PF13186,CK_Syn_KORDI-52_26480,PF04055|PF13353
CK_00044231,PF04321,CK_Pro_MED4_01233,PF04321
CK_00044247, ,CK_Syn_KORDI-52_28140,PF00685
CK_00044248, ,CK_Syn_KORDI-52_28130, 
CK_00044277,PF00059  PF00059  PF00059  PF00059  PF00028  PF00028  PF13753  PF13205  PF13753  PF13753,CK_Syn_RS9907_02578, 
CK_00044285,PF05272,CK_Syn_ROS8604_02227,PF05272
CK_00044291, ,CK_Syn_ROS8604_02222, 
CK_00044296, ,CK_Syn_ROS8604_02224, 
CK_00044308,PF07992,CK_Syn_RS9909_01736,PF07992
CK_00044319,PF03721  PF00984  PF00984  PF03720,CK_Pro_MIT9321_01826,PF00984|PF03720|PF03721
CK_00044348,PF05050  PF03269,CK_Syn_M16.1_02103,PF08242
CK_00044349, ,CK_Syn_M16.1_02097, 
CK_00044354, ,CK_Syn_M16.1_02142, 
CK_00044357,PF16576  PF00529  PF16576,CK_Syn_M16.1_02118,PF13437|PF13533
CK_00044386,PF02638,CK_Cya_WH5701_07136,PF02638
CK_00044398,PF13407,CK_Syn_SYN20_00136,PF13407
CK_00044466,PF05598  PF01609  PF13751,CK_Cya_WH5701_08554,PF05598|PF13586
CK_00044480,PF08548  PF00353  PF08548  PF00353,CK_Cya_CB0101_01761,PF00353
CK_00044481,PF13727  PF02719,CK_Cya_WH5701_13930,PF02719
CK_00044490,PF13946  PF08548  PF08548  PF00353  PF08548  PF00353  PF00353,CK_Syn_WH7805_04641,PF00353
CK_00044494, ,CK_Pro_MIT0601_01646, 
CK_00044510,PF00132  PF14602  PF05523,CK_Syn_SYN20_00202,PF05523
CK_00044517,PF00939,CK_Syn_WH7805_05236,PF00939
CK_00044537, ,CK_Syn_RS9907_00402, 
CK_00044540,PF12000  PF13692  PF13524,CK_Cya_NS01_00191,PF00534|PF12000
CK_00044546, ,CK_Syn_WH7805_05771, 
CK_00044554, ,CK_Pro_MIT0702_01061, 
CK_00044555,PF01875  PF01871,CK_Pro_MIT0702_03060,PF01871|PF01875
CK_00044569,PF17892  PF08548  PF00353  PF00353  PF00353  PF00353,CK_Syn_A15-127_02183,PF00353|PF00413|PF17892
CK_00044570,PF08240  PF16912,CK_Cya_CB0101_07225,PF08240|PF13602
CK_00044595, ,CK_Pro_MIT9202_00508, 
CK_00044620,PF05618,CK_Syn_WH7805_00990,PF05618
CK_00044623,PF17990  PF18417,CK_Syn_WH7805_00980,PF17990|PF18417
